date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:06	13795/13795	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Apr%202024%2012:45:06%20GMT	https://www.yahoobaba.net/premium	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/premium.html	(from )
18:15:06	2212/2212	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Apr%202024%2012:45:06%20GMT	https://www.yahoobaba.net/robots.txt		(from )
18:15:06	557/557	U-----	200	untouched ('')	image/png	date:Thu,%2017%20Aug%202023%2013:42:50%20GMT	https://www.yahoobaba.net/public/frontend/images/favicon.png	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/frontend/images/favicon.png	(from https://www.yahoobaba.net/premium)
18:15:06	149073/149073	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c531f0747aa675b6a2e7792acddad418%22	https://checkout.razorpay.com/v1/checkout.js	C:/My%20Web%20Sites/appoinmnet/checkout.razorpay.com/v1/checkout.js	(from https://www.yahoobaba.net/premium)
18:15:06	162023/162023	U-----	200	untouched ('OK')	text/css	date:Thu,%2017%20Aug%202023%2013:42:49%20GMT	https://www.yahoobaba.net/public/frontend/css/bootstrap.min.css	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/frontend/css/bootstrap.min.css	(from https://www.yahoobaba.net/premium)
18:15:07	24/24	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Apr%202024%2012:45:07%20GMT	https://www.yahoobaba.net/%22https:////pagead2.googlesyndication.com//pagead//js//adsbygoogle.js/%22><//script>/r/n<!--	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/_https_/pagead2.googlesyndication.com/pagead/js/adsbygoogle.js/___/script_/r/n_!--.html	(from https://www.yahoobaba.net/premium)
18:15:11	88147/88147	U-----	200	untouched ('')	application/javascript	date:Thu,%2017%20Aug%202023%2013:42:49%20GMT	https://www.yahoobaba.net/public/frontend/js/jquery.min.js	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/frontend/js/jquery.min.js	(from https://www.yahoobaba.net/premium)
18:15:11	123201/123201	U-----	200	untouched ('OK')	text/css	date:Tue,%2002%20Apr%202024%2004:50:09%20GMT	https://www.yahoobaba.net/public/frontend/css/style.css	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/frontend/css/style.css	(from https://www.yahoobaba.net/premium)
18:15:11	21552/21552	U-----	200	untouched ('OK')	text/css	date:Wed,%2020%20Mar%202024%2011:48:08%20GMT	https://www.yahoobaba.net/public/build/assets/app-0baf711e.css	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/build/assets/app-0baf711e.css	(from https://www.yahoobaba.net/premium)
18:15:11	2721761/2721761	U-----	200	untouched ('')	application/javascript	date:Wed,%2020%20Mar%202024%2011:48:08%20GMT	https://www.yahoobaba.net/public/build/assets/app-640b8096.js	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/build/assets/app-640b8096.js	(from https://www.yahoobaba.net/premium)
18:15:11	20028/20028	---M--	200	added ('OK')	font/woff2	date:Thu,%2017%20Aug%202023%2013:42:50%20GMT	https://www.yahoobaba.net/public/frontend/fonts/fontello.woff2?25461311	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/frontend/fonts/fontellod605.woff2	(from https://www.yahoobaba.net/public/frontend/css/style.css)
18:15:11	24032/24032	---M--	200	added ('OK')	font/woff	date:Thu,%2017%20Aug%202023%2013:42:50%20GMT	https://www.yahoobaba.net/public/frontend/fonts/fontello.woff?25461311	C:/My%20Web%20Sites/appoinmnet/www.yahoobaba.net/public/frontend/fonts/fontellod605.woff	(from https://www.yahoobaba.net/public/frontend/css/style.css)
18:15:12	178338/178338	U--M--	200	updated ('OK')	text/javascript	etag:17241613037257445955	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/appoinmnet/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.yahoobaba.net/premium)
